CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment
41678bd77f241a2270d0a5d905b22020,78,1,899.9,5,2,5,525,Potential Loyalists
416e6088ae45421d02c8ef8799e412fa,189,1,0.0,4,2,1,421,Potential Loyalists
417021b1b4553c55daa22f17dbf37cdc,176,1,99.9,4,2,4,424,Potential Loyalists
41ae3e6c714d29506b9b6c747b0c97ce,143,1,419.98,4,2,5,425,Potential Loyalists
41b75ed52acfa208903915c459a5e3fd,152,1,0.0,4,2,1,421,Potential Loyalists
41bec52362021d022db0035eb9256a22,40,1,89.0,5,2,3,523,Potential Loyalists
41c9b35f67c54295f3dc8f3932596421,157,1,299.0,4,2,5,425,Potential Loyalists
41d015d8f575b00c1b26805133997ad3,36,1,39.0,5,2,2,522,Potential Loyalists
41d425e9074bd07de94859fa74a2f0bf,101,1,0.0,5,2,1,521,Potential Loyalists
41e815eba2977f6db0bc60d0a9ea8adb,97,1,18.9,5,2,2,522,Potential Loyalists
4211dcafb715e60bb929a44d3e4951a2,147,1,148.0,4,2,4,424,Potential Loyalists
42129a3aa44a6075ec29b758d483b8a0,88,1,330.0,5,2,5,525,Potential Loyalists
421fb8b8a68656b2eed1ef9389014a7c,156,1,25.0,4,2,2,422,Potential Loyalists
425697ce3d3fac914952c34f43c9dece,123,1,113.89,4,2,4,424,Potential Loyalists
4268ba27ab73c81466d3068e501223a3,107,1,19.9,5,2,2,522,Potential Loyalists
426fe5ac8fe33148bc4fe8a9b96fd0c6,130,1,19.9,4,2,2,422,Potential Loyalists
42ae5fc8e51ccabaa26d6d7392263020,56,1,19.9,5,2,2,522,Potential Loyalists
42bb902a6bb8846bd157d39bccc2fd68,40,1,25.99,5,2,2,522,Potential Loyalists
42c16349869fd971353f0349209de869,65,1,70.0,5,2,3,523,Potential Loyalists
42e3510968b9442349d383ea0c98ccac,169,1,0.0,4,2,1,421,Potential Loyalists
42fbe6ab4be2d0760e5a134370da0ff5,45,1,0.0,5,2,1,521,Potential Loyalists
4306ae87bca0dc6f2fb4eaecdabdfc96,114,1,29.9,5,2,2,522,Potential Loyalists
4313fa5484249473621c67c84fd0af94,172,1,0.0,4,2,1,421,Potential Loyalists
4322436fce8de0016f4e3ba6f94f5211,26,1,54.9,5,2,3,523,Potential Loyalists
4329304379be864816803affb61e678b,177,1,118.0,4,2,4,424,Potential Loyalists
432c102302fd43b0b749e60c6ba520fd,178,1,0.0,4,2,1,421,Potential Loyalists
4363e6fae67bd586b97c117e50f953dc,174,1,27.5,4,2,2,422,Potential Loyalists
437415d3e8456d9c62280fb2c0da0458,95,1,0.0,5,2,1,521,Potential Loyalists
43941f33ed232fab3edca66699e4d287,181,1,0.0,4,2,1,421,Potential Loyalists
43968dac726b3b0b8d896a758308d75a,166,1,53.99,4,2,3,423,Potential Loyalists
4399f1c9b351d4c09e167b8ce3d8da76,60,1,0.0,5,2,1,521,Potential Loyalists
439c2008fd12459f1259b8d0d733e083,94,1,169.0,5,2,5,525,Potential Loyalists
439ced9aafa171a1ac88efa951c7db0a,108,1,99.2,5,2,4,524,Potential Loyalists
43da534e5e6c052df9993df486f342b6,130,1,79.82,4,2,3,423,Potential Loyalists
43ecbcf019723aba3a855565a0f27cba,78,1,49.9,5,2,3,523,Potential Loyalists
43edb5e13058ed02b2828267451ae295,64,1,48.99,5,2,3,523,Potential Loyalists
4412513db47efd18fc8ad98ff8e64727,169,1,0.0,4,2,1,421,Potential Loyalists
442ec7926cde07b2c855a5e100e345c5,96,1,15.9,5,2,2,522,Potential Loyalists
44434a963fa4b4012dfd754e817de54e,138,1,219.0,4,2,5,425,Potential Loyalists
445303938ffc592a9c9db7dacb942a25,138,1,122.9,4,2,4,424,Potential Loyalists
445419b1327cc8f5219514a87d043e8c,197,1,0.0,4,2,1,421,Potential Loyalists
4455e8f6fe30a164efb0265370000dd3,50,1,179.0,5,2,5,525,Potential Loyalists
44745b569a052beee4b08e01de7d4472,122,1,0.0,4,2,1,421,Potential Loyalists
4483110ec7728398e8128f4550f3c38a,106,1,0.0,5,2,1,521,Potential Loyalists
449ba149df652b663c8a8605eacb146d,63,1,219.0,5,2,5,525,Potential Loyalists
449cc26294cc2d6e2e88a82cea3e42c0,88,1,184.0,5,2,5,525,Potential Loyalists
44cf660de0c0d10e0e3040510791594d,45,1,58.0,5,2,3,523,Potential Loyalists
44d5ead0073d7c53c3f0503d9f847de0,183,1,119.9,4,2,4,424,Potential Loyalists
44df1ea61bcd2dc37c167d6be5b4ee11,162,1,69.9,4,2,3,423,Potential Loyalists
44e64b7162915525578f601e73e72b16,150,1,35.5,4,2,2,422,Potential Loyalists
4557896ca8d8cb9fa93fe60ea0b37262,203,1,350.0,4,2,5,425,Potential Loyalists
4563fe24c126728dd232a6f0cba6445d,158,1,0.0,4,2,1,421,Potential Loyalists
4577881f7a6c10d8eb6bd7f7a82ffa86,63,1,692.0,5,2,5,525,Potential Loyalists
4578c59d3730444c9221fb635f7af881,169,1,99.0,4,2,4,424,Potential Loyalists
457b1706d1ae54956aa3f8357ae96fe4,124,1,39.97,4,2,2,422,Potential Loyalists
457c16a2301237e613a1299777585d80,153,1,39.99,4,2,2,422,Potential Loyalists
458ab992ed2dd296f40f94838cf284cb,170,1,47.0,4,2,2,422,Potential Loyalists
45ca2b8a047054e858fa92a2a09bdd59,129,1,138.0,4,2,4,424,Potential Loyalists
45e2f324ab647613a2f00c9c4ae07e47,65,1,77.9,5,2,3,523,Potential Loyalists
45ea36c7ee518a24e962cb202fcd9779,104,1,67.8,5,2,3,523,Potential Loyalists
4604bef2f7091a97d534af2a62c65952,51,1,20.9,5,2,2,522,Potential Loyalists
4608a4839f4a4999c7a4fe2b498d6573,139,1,0.0,4,2,1,421,Potential Loyalists
46096c74a26672fe76dfcaf234d00864,37,1,56.58,5,2,3,523,Potential Loyalists
461aac4bb2f4d6ae5f6375f5b0958e83,49,1,92.99,5,2,4,524,Potential Loyalists
4637341cc744f926465ae19c6a45b05a,193,1,97.9,4,2,4,424,Potential Loyalists
463bea4a9035546dc7f2c4c1ab82b5a7,143,1,119.69999999999999,4,2,4,424,Potential Loyalists
463d8425827e81d905edf86f9c231eef,107,1,149.65,5,2,4,524,Potential Loyalists
46450c74a0d8c5ca9395da1daac6c120,44,1,0.0,5,2,1,521,Potential Loyalists
4647dada7eacabaaaf65edea85ddae43,59,1,6.37,5,2,1,521,Potential Loyalists
465a9b4c36bd07c2da0573a81ab61ad1,100,1,29.99,5,2,2,522,Potential Loyalists
4669d94e1e35f2493af76862ff85beba,88,1,137.99,5,2,4,524,Potential Loyalists
46799d0831910f2c477c49a994961510,138,1,130.0,4,2,4,424,Potential Loyalists
467f2ac77aed108600b9ed0be16c990e,48,1,13.47,5,2,2,522,Potential Loyalists
46a3729194f6f9d113c57f7f87bb89d9,182,1,255.0,4,2,5,425,Potential Loyalists
46a5335f5fe2f04744ec3535fc6e36f7,182,1,243.37,4,2,5,425,Potential Loyalists
47241156f53adb201a393df4569ed484,57,1,0.0,5,2,1,521,Potential Loyalists
4757513bdcbe18dc733da74607fd85a7,99,1,29.99,5,2,2,522,Potential Loyalists
476d2a8557b63e068870877925589f40,53,1,0.0,5,2,1,521,Potential Loyalists
47702cb199856e6509979e5623160f04,168,1,39.99,4,2,2,422,Potential Loyalists
47778d96d007a0dc79616bbf9c719166,142,1,110.0,4,2,4,424,Potential Loyalists
47785f23f38b208f70c7bcc32c282953,85,1,49.9,5,2,3,523,Potential Loyalists
47799677c386885704b9844bc4c840e6,136,1,124.0,4,2,4,424,Potential Loyalists
477f817873a453385bde447535ceeb3d,151,1,0.0,4,2,1,421,Potential Loyalists
478a0a8d25ca79847ce2ff79ac2433b5,53,1,22.44,5,2,2,522,Potential Loyalists
479346aff25d6c68b88e2927769b94d3,150,1,155.99,4,2,5,425,Potential Loyalists
479d6a0c8b13debeddbe4129756c6c68,140,1,199.9,4,2,5,425,Potential Loyalists
47c1737f10465e1d00d0c02ea916c74a,27,1,320.0,5,2,5,525,Potential Loyalists
47e8ef9d4dbc59ab98422f3a07f6865a,49,1,129.49,5,2,4,524,Potential Loyalists
47ed909ad8168055b4cff7733f7ce616,41,1,330.0,5,2,5,525,Potential Loyalists
47f0359649e2dc0ea37c1c5c277b8ca8,182,1,86.99,4,2,3,423,Potential Loyalists
4805c944b7235f559e0056dab6bc43f4,153,1,59.98,4,2,3,423,Potential Loyalists
4813f603025d7a3956daf0846add6330,197,1,0.0,4,2,1,421,Potential Loyalists
48588e83c729b632d1246b37c2a5ca2c,154,1,134.7,4,2,4,424,Potential Loyalists
4859987c60ae8e304bb98146180152ae,62,1,69.9,5,2,3,523,Potential Loyalists
485daa5f13cbbbfad2d4c0b1bff1e48c,131,1,19.9,4,2,2,422,Potential Loyalists
485f1a21b1d956898035a6affa72b28b,44,1,0.0,5,2,1,521,Potential Loyalists
48a91a904cbb4f4f4de08f6c74f39407,188,1,170.3,4,2,5,425,Potential Loyalists
48adfec5c9744635baaf82b0da1d5185,78,1,189.0,5,2,5,525,Potential Loyalists
48bbd473ddd17309b40a941962591360,186,1,17.99,4,2,2,422,Potential Loyalists
48bfb0e7bc39f3d4dbd5b242179be1e3,30,1,117.9,5,2,4,524,Potential Loyalists
48d6dca7397a3995908aabf1eea373e5,134,1,114.99,4,2,4,424,Potential Loyalists
48e4b7f31748195c4df64113e2fa7330,88,1,35.0,5,2,2,522,Potential Loyalists
48e8d93c6ed6a8df94e24f4cd188d154,129,1,90.0,4,2,4,424,Potential Loyalists
48e99ff587e12c76f15f2f0372be1175,128,1,139.99,4,2,4,424,Potential Loyalists
490aaedd703d157551ba484dbf0ec17c,96,1,383.5,5,2,5,525,Potential Loyalists
4919652599408c4cdb93218f74137435,170,1,0.0,4,2,1,421,Potential Loyalists
49257d143ec6384f53a6648062252966,186,1,110.0,4,2,4,424,Potential Loyalists
49342c395ab145b1716b1dc861c090f2,103,1,230.0,5,2,5,525,Potential Loyalists
498011a635721ea1682b150ec0d1494e,190,1,149.9,4,2,4,424,Potential Loyalists
4985c6f86aaf1460d9b6fdc74465a5a5,50,1,0.0,5,2,1,521,Potential Loyalists
