category,units_sold,orders,products,sellers,revenue,freight,avg_price,avg_review_score,late_delivery_rate,gross_sales_with_freight,revenue_share_pct,cum_revenue_share_pct
drinks,361,287,80,36,21529.84,5441.27,59.6394459833795,4.119113573407202,0.055401662049861494,26971.11,0.1628396405677813,98.67531910118772
signaling_and_security,197,138,91,45,21315.05,6477.54,108.1982233502538,4.091836734693878,0.05583756345177665,27792.59,0.16121508941470472,98.83653419060245
furniture_bedroom,103,90,43,22,19051.8,4327.42,184.96893203883494,4.252427184466019,0.07766990291262135,23379.22,0.14409713514681277,98.98063132574927
books_technical,263,256,122,25,18702.23,4198.84,71.11114068441064,4.3893129770992365,0.11026615969581749,22901.07,0.14145318362867426,99.12208450937794
costruction_tools_tools,103,97,39,24,15903.95,2030.22,154.40728155339806,4.444444444444445,0.05825242718446602,17934.170000000002,0.12028856236776334,99.2423730717457
food_drink,269,221,99,32,14942.88,4394.89,55.54973977695167,4.366171003717472,0.06319702602230483,19337.77,0.11301956764413891,99.35539263938985
fashion_male_clothing,125,106,89,12,10452.33,2062.62,83.61864,3.7580645161290325,0.056,12514.95,0.07905556475551316,99.43444820414535
fashion_underwear_beach,127,117,52,9,9305.95,1854.07,73.27519685039371,4.0476190476190474,0.12598425196850394,11160.02,0.07038498907292133,99.50483319321827
christmas_supplies,150,125,63,16,8737.84,3190.91,58.25226666666667,4.06993006993007,0.12,11928.75,0.0660881235038803,99.57092131672215
tablets_printing_image,83,79,9,6,7528.41,1226.2,90.70373493975903,4.1234567901234565,0.07228915662650602,8754.61,0.056940672965841384,99.627861989688
cine_photo,70,63,26,13,6674.47,1227.71,95.34957142857144,4.285714285714286,0.07142857142857142,7902.18,0.050481949507308894,99.67834393919532
music,38,38,27,19,6034.35,690.51,158.79868421052632,4.2105263157894735,0.07894736842105263,6724.860000000001,0.04564044066561531,99.72398437986092
dvds_blu_ray,61,56,46,10,4542.59,1227.25,74.46868852459016,4.180327868852459,0.06557377049180328,5769.84,0.034357604276055824,99.75834198413698
party_supplies,42,38,25,11,4465.1900000000005,820.19,106.31404761904763,3.8333333333333335,0.047619047619047616,5285.380000000001,0.033772194064928096,99.7921141782019
books_imported,57,50,30,6,4418.86,732.08,77.5238596491228,4.508771929824562,0.03508771929824561,5150.94,0.03342177991658767,99.82553595811848
furniture_mattress_and_upholstery,37,37,10,5,4323.38,1581.37,116.84810810810811,3.891891891891892,0.13513513513513514,5904.75,0.03269962272074174,99.85823558083922
portateis_cozinha_e_preparadores_de_alimentos,14,13,9,5,3933.63,294.42,280.97357142857146,3.4285714285714284,0.07142857142857142,4228.05,0.029751772206697384,99.88798735304594
fashio_female_clothing,45,36,26,10,2634.94,583.5,58.55422222222222,3.933333333333333,0.06666666666666667,3218.44,0.019929209066006513,99.90791656211194
fashion_sport,29,26,19,10,2094.52,563.03,72.2248275862069,4.344827586206897,0.06896551724137931,2657.55,0.015841775134512345,99.92375833724645
la_cuisine,14,13,10,2,2054.99,333.55,146.785,4.0,0.0,2388.54,0.015542792374229668,99.93930112962069
arts_and_craftmanship,24,23,19,13,1814.01,370.13,75.58375,4.125,0.08333333333333333,2184.14,0.013720154742736636,99.95302128436342
diapers_and_hygiene,37,25,11,7,1500.79,545.4,40.56189189189189,3.3783783783783785,0.02702702702702703,2046.19,0.011351134247524389,99.96437241861094
pc_gamer,8,7,2,2,1306.95,123.14999999999999,163.36875,3.625,0.0,1430.1000000000001,0.009885037150302175,99.97425745576123
flowers,33,29,14,3,1110.04,488.87,33.63757575757575,4.419354838709677,0.030303030303030304,1598.9099999999999,0.008395720294059777,99.98265317605528
home_comfort_2,30,24,5,4,760.27,410.31,25.342333333333332,3.6296296296296298,0.16666666666666666,1170.58,0.0057502560880372125,99.98840343214331
cds_dvds_musicals,14,12,1,1,730.0,224.98999999999998,52.142857142857146,4.642857142857143,0.0,954.99,0.005521310776786095,99.9939247429201
fashion_childrens_clothes,7,7,4,3,519.95,78.72,74.27857142857144,5.0,0.0,598.6700000000001,0.003932610326561549,99.99785735324666
security_and_services,2,2,2,2,283.28999999999996,41.22,141.64499999999998,2.5,0.0,324.51,0.0021426467533640177,100.00000000000003
